,KO,OE,WT
num.edges(L),348,261,258
num.pos.edges,204,174,151
num.neg.edges,144,87,107
num.vertices(n),279,273,278
Connectance(edge_density),0.00897346638817978,0.00702973497091144,0.00670077656286523
average.degree(Average K),2.49462365591398,1.91208791208791,1.85611510791367
average.path.length,1.01066870150669,1,1
diameter,1.97122152121832,1,1
edge.connectivity,0,0,0
mean.clustering.coefficient(Average.CC),0.997701149425287,1,1
no.clusters,95,108,109
centralization.degree,0.0126092674247699,0.0150290885585003,0.00773965665013116
centralization.betweenness,0.000103888008726593,0,0
centralization.closeness,0.00800803400600842,0,0
RM(relative.modularity),0.573187724596808,0.361599852093802,0.434255599472991
modularity.net,0.974220504690184,0.973003919496194,0.981251126735174
modularity_random,0.619265259611574,0.714603426256221,0.68415359653867
the.number.of.keystone.nodes,Not.calculated,Not.calculated,Not.calculated
