"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gFC","log2gFC","change2"
"K00048","K00048",1114.52727103392,-0.575394512626039,0.385649523305321,-1.49201406420641,0.135695458389274,0.487120158260479,0.0692603362163809,0.0966131533784168,"NOT"
"K00049","K00049",717.911593785948,-0.372597401571158,0.378367416952752,-0.984750231856474,0.324746772173653,0.487120158260479,0.17975447757,0.238486647004127,"NOT"
"K00050","K00050",2565.3314934678,-0.359725395521229,0.361015347926156,-0.996426876551544,0.319042779686913,0.487120158260479,0.0694169039586165,0.0968243862857925,"NOT"
"K00051","K00051",67.4744320891313,2.49549411092165,2.0283420969041,1.23031224108131,0.218580202124489,0.487120158260479,1.23804471981008,1.16223886401925,"UP"
"K00052","K00052",128.713337552359,0.983487206112329,0.85193806925438,1.1544116193482,0.248331453718474,0.487120158260479,0.558177871345088,0.639859931384324,"UP"
"K00054","K00054",818.935319411416,-1.16948880348991,0.544314445337038,-2.14855367794945,0.0316697969964275,0.475046954946413,-0.379763675787128,-0.68911007485879,"NOT"
"K00055","K00055",52.6897791480049,0.033135259225668,1.04448138731169,0.0317241260861069,0.97469205473324,0.97469205473324,0.133773143832737,0.181132000942925,"NOT"
"K00056","K00056",29.7479180022852,2.20225724572266,1.79511777737861,1.22680376378345,0.219896355866095,0.487120158260479,0.624583613460031,0.700069997665457,"UP"
"K00057","K00057",452.531662363455,0.220777987662296,0.493991585821667,0.446926615754135,0.65492804600527,0.893083699098095,0.24860301273611,0.320314851969192,"NOT"
"K00058","K00058",704.203320751727,-0.687444410667095,0.411048943254036,-1.67241498110905,0.0944425199896821,0.487120158260479,-0.00394610919852244,-0.00570429447276836,"NOT"
"K00059","K00059",31.8873054727547,-0.196066799097317,1.4647652610855,-0.133855440394605,0.893516886514403,0.957339521265432,0.11222903518402,0.153453904878183,"NOT"
"K00060","K00060",575.653347184108,0.176793872799646,0.509051391610722,0.34730063744692,0.728365471943722,0.910456839929652,0.31569819164372,0.395828586827452,"NOT"
"K00063","K00063",0.166218105148425,0.577729195661072,3.01370259842497,0.191700798865491,0.847976580189957,0.957339521265432,0.00641211730767942,0.00922119763434853,"NOT"
"K00065","K00065",51.8025389055228,1.08740876366335,1.08967182858686,0.997923168366706,0.318316616447488,0.487120158260479,0.515611805173094,0.59990028222394,"UP"
"K00066","K00066",342.960023437302,0.46036283765864,0.414268256197305,1.11126747167271,0.266453236422572,0.487120158260479,0.469247731636458,0.555077670959387,"NOT"
